"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0018209,GO:0018209,peptidyl-serine modification,59/591,301/18493,8.21E-30,1.26E-27,5.22E-28,AKT1/ANGPT1/ATM/ATR/BAK1/BAX/BCL2/BRAF/CAV1/CDK1/CDK2/CHEK2/CSF3/EGFR/GCG/GSK3B/HGF/HSP90AA1/IFNA13/IFNB1/IFNG/IKBKB/IL24/IL6/ILK/MAPK14/MAPK8/MTOR/PARP1/PLK1/PRKDC/PTGS2/RAF1/RET/SRC/TGFB1/TNF/VEGFA/CAMK2A/CDK5/CSNK2A1/DDIT4/EIF2AK3/HIPK2/IL11/MAP2K2/NTRK3/PAK1/PAK2/PARP2/PRKCA/PRKCE/TBK1/TNKS/TNKS1BP1/TOP1/TXN/UCN/VRK1,59,
GO:0010332,GO:0010332,response to gamma radiation,29/591,53/18493,8.31E-30,1.26E-27,5.22E-28,ATM/ATR/BAK1/BAX/BCL2/BCL2L1/CHEK2/EGR1/ERCC6/FANCD2/GATA3/GPX1/H2AFX/HRAS/LIG4/MDM2/MYC/PARP1/PML/POLB/PRKDC/PTPRC/TP53/XRCC5/HSF1/MEN1/TIGAR/WRN/XRCC6,29,19
GO:0000077,GO:0000077,DNA damage checkpoint,43/591,146/18493,1.03E-29,1.49E-27,6.17E-28,ATF2/ATM/ATR/BABAM2/BAX/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/E2F1/GADD45A/H2AFX/HUS1/MAPK14/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PLK1/PML/PRKDC/RAD1/RAD17/RAD9A/RPA2/TP53/TP53BP1/CASP2/E2F4/EP300/GML/PIDD1/PRPF19/TNKS1BP1/UIMC1/XPC,43,20
GO:0042770,GO:0042770,signal transduction in response to DNA damage,41/591,130/18493,1.04E-29,1.49E-27,6.17E-28,ABL1/ATM/ATR/BABAM2/BAX/BRCA1/CASP9/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/E2F1/GADD45A/KAT5/MAPK14/MDM2/NBN/PCNA/PLK1/PML/PPM1D/PRKDC/SIRT1/TP53/ATRX/CASP2/E2F4/EP300/FOXM1/FOXO3/GML/HIPK2/PAXIP1/PIDD1/PRPF19/SESN2/SNAI1/TNKS1BP1/UIMC1,41,
GO:0010948,GO:0010948,negative regulation of cell cycle process,59/591,304/18493,1.44E-29,2.00E-27,8.29E-28,APC/ATM/BABAM2/BAX/BCL2/BMI1/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK1/CHEK2/DAB2IP/E2F1/GADD45A/HUS1/MDM2/MRE11/MSH6/NBN/NPM1/PCNA/PLK1/PML/PRKDC/PTEN/RAD1/RAD17/RAD21/RAD51/RB1/RBBP8/RPA2/SETMAR/SMC1A/SMC3/TP53/ATRX/CALR/CASP2/CDC6/CHMP4C/DUSP1/E2F4/EP300/GML/MEN1/NEK2/PIDD1/PTTG1/TNKS/TNKS1BP1/TOPBP1/UIMC1/WEE1/XRCC3,59,
GO:0018105,GO:0018105,peptidyl-serine phosphorylation,57/591,282/18493,1.47E-29,2.00E-27,8.29E-28,AKT1/ANGPT1/ATM/ATR/BAK1/BAX/BCL2/BRAF/CAV1/CDK1/CDK2/CHEK2/CSF3/EGFR/GCG/GSK3B/HGF/HSP90AA1/IFNA13/IFNB1/IFNG/IKBKB/IL24/IL6/ILK/MAPK14/MAPK8/MTOR/PLK1/PRKDC/PTGS2/RAF1/RET/SRC/TGFB1/TNF/VEGFA/CAMK2A/CDK5/CSNK2A1/DDIT4/EIF2AK3/HIPK2/IL11/MAP2K2/NTRK3/PAK1/PAK2/PRKCA/PRKCE/TBK1/TNKS/TNKS1BP1/TOP1/TXN/UCN/VRK1,57,
GO:0030098,GO:0030098,lymphocyte differentiation,62/591,344/18493,3.81E-29,5.08E-27,2.10E-27,ABL1/ATM/BAK1/BAX/BCL11B/BCL2/BRAF/CD2/CD4/CTNNB1/DCLRE1C/EGR1/EGR3/ERBB2/FANCD2/FOXP3/GATA3/HNF1A/IFNA13/IFNB1/IFNG/IKZF1/IL2/IL6/ITGB1/KIT/LCK/LIG4/MSH2/MTOR/NHEJ1/NOTCH2/PRKDC/PTK2B/PTPRC/RELB/RHOA/SOD1/STAT3/TGFB1/ADAM17/ANXA1/ATG5/CCR7/EP300/FLT3/IL10/IL11/IL4/IRF1/LEP/LGALS1/NFATC2/NLRP3/PLA2G2D/PLCG2/SHH/SOCS1/STK11/TNFSF4/TNFSF9/VCAM1,62,
GO:0050731,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,47/591,186/18493,4.36E-29,5.68E-27,2.35E-27,ABL1/ACE/AGT/ANGPT1/CD4/CD40/CSF2/CSF3/EGF/ERCC6/EREG/HGF/ICAM1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/MTOR/PTK2B/PTPRC/SRC/STAT3/TGFB1/TP53/VEGFA/ADAM17/CD24/CD36/ERBB3/FLT3/GH2/HSF1/IL11/IL13/IL4/IL5/ITGA5/LEP/LYN/PAK2/SOCS3/TGFA/TNFRSF1A,47,
GO:0050730,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,53/591,245/18493,4.52E-29,5.74E-27,2.38E-27,ABL1/ACE/AGT/ANGPT1/CAV1/CD4/CD40/CSF2/CSF3/EGF/EGFR/ERCC6/EREG/HGF/ICAM1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/MTOR/PTK2B/PTPRC/SRC/STAT3/TGFB1/THY1/TP53/VEGFA/ADAM17/CD24/CD36/ERBB3/FLT3/GH2/HSF1/IL11/IL13/IL4/IL5/ITGA5/LEP/LYN/PAK2/PDGFA/PRKCE/SOCS1/SOCS3/TGFA/TNFRSF1A,53,
GO:0009411,GO:0009411,response to UV,41/591,136/18493,7.85E-29,9.74E-27,4.04E-27,AKT1/ATR/BAK1/BAX/BCL2/CASP3/CASP9/CAT/CCND1/CDC25A/CDKN1A/CHEK1/EGFR/ERCC1/ERCC2/ERCC6/GPX1/HUS1/MAPK8/MDM2/MSH2/MSH6/MYC/NPM1/PARP1/PCNA/PML/PTGS2/RAD18/SIRT1/TP53/DDB2/EP300/FEN1/HMGN1/MEN1/POLH/STK11/TYR/WRN/XPC,41,
GO:0002237,GO:0002237,response to molecule of bacterial origin,61/591,337/18493,8.59E-29,1.04E-26,4.32E-27,ABL1/AKT1/BCR/CASP1/CASP3/CASP8/CASP9/CD40/CDK4/CSF2/CSF3/DAB2IP/FASLG/ICAM1/IL1B/IL24/IL6/JAK2/JUN/JUNB/KLRK1/KLRC4-KLRK1/MAPK14/MAPK8/NFKB1/NFKBIA/NOS2/PTGS2/RHOA/SIRT2/SRC/TGFB1/TNF/TSPO/ADAM17/CCR7/CD24/CD36/CXCL1/CXCL8/FOS/HSF1/HSPD1/IL10/IL13/IL36G/JUND/LYN/NLRP3/NOS3/P2RX7/PLCG2/PRKCA/PRKCE/SELE/SELP/SERPINE1/TLR4/TNFRSF11A/TNFSF4/VCAM1,61,
GO:0070482,GO:0070482,response to oxygen levels,62/591,349/18493,8.81E-29,1.05E-26,4.34E-27,AKT1/ATM/BCL2/CA9/CASP3/CAT/CAV1/CCNA2/CDK4/CDKN1A/CREB1/E2F1/EGR1/ERCC2/FAS/HIF1A/HMOX1/ICAM1/MDM2/MMP2/MTOR/MYC/NOS2/PKM/PLAT/PML/POLB/PPARA/PSEN2/PTEN/PTGS2/PTK2B/RAF1/RHOA/SIRT1/SIRT2/SRC/TERT/TGFB1/TP53/VEGFA/XRCC1/ACVRL1/ADAM17/BMP2/CD24/DDIT4/EP300/FOXO3/HIPK2/HSF1/HSPD1/LDHA/LEP/MT3/NOX1/PAK1/PPARG/PRKCE/SUV39H1/TIGAR/VCAM1,62,
GO:0042110,GO:0042110,T cell activation,70/591,451/18493,1.16E-28,1.34E-26,5.55E-27,ABL1/AKT1/BAX/BCL11B/BCL2/BRAF/CASP3/CASP8/CAV1/CD2/CD4/CTNNB1/EGR1/EGR3/ERBB2/FANCD2/FOXP3/GATA3/HLA-E/ICAM1/IFNA13/IFNB1/IFNG/IGF1/IL1B/IL2/IL6/KIT/KLRK1/KLRC4-KLRK1/LCK/LIG4/MTOR/NHEJ1/PRKDC/PTPRC/RAC1/RELB/RHOA/SOD1/SRC/STAT3/TGFB1/THY1/ADAM17/ANXA1/ATG5/CCR7/CD24/HSPD1/IL10/IL4/IRF1/LEP/LGALS1/LYN/NFATC2/NLRP3/P2RX7/PAK1/PAK2/PLA2G2D/RPS3/SHH/SOCS1/STK11/TNFSF4/TNFSF9/TWSG1/VCAM1,70,
GO:0043281,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,49/591,209/18493,1.18E-28,1.34E-26,5.55E-27,AKT1/BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/GPX1/HGF/JAK2/LAMTOR5/LCK/MDM2/MGMT/MMP9/MYC/PML/PRDX5/PTGS2/RAF1/RHOA/SIRT1/SRC/TNF/VEGFA/BIRC3/CASP8AP2/CSNK2A1/DIABLO/EIF2AK3/HSF1/HSPD1/HSPE1/MT3/NLRP3/PAK2/PIDD1/PLAUR/PPARG/RPS3/SOX2/TNFRSF10A/TP63/TRAF2/XDH/XIAP,49,
GO:0032496,GO:0032496,response to lipopolysaccharide,59/591,324/18493,5.14E-28,5.73E-26,2.37E-26,ABL1/AKT1/BCR/CASP1/CASP3/CASP8/CASP9/CD40/CDK4/CSF2/CSF3/DAB2IP/FASLG/ICAM1/IL1B/IL24/IL6/JAK2/JUN/JUNB/KLRK1/KLRC4-KLRK1/MAPK14/MAPK8/NFKB1/NFKBIA/NOS2/PTGS2/RHOA/SRC/TGFB1/TNF/TSPO/ADAM17/CCR7/CD36/CXCL1/CXCL8/FOS/HSF1/HSPD1/IL10/IL13/IL36G/JUND/LYN/NLRP3/NOS3/P2RX7/PLCG2/PRKCA/PRKCE/SELE/SELP/SERPINE1/TLR4/TNFRSF11A/TNFSF4/VCAM1,59,
GO:0072331,GO:0072331,signal transduction by p53 class mediator,49/591,218/18493,9.39E-28,1.03E-25,4.25E-26,AKT1/ATM/ATR/BAX/BCL2/BRCA1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/E2F1/GADD45A/IFI16/KAT5/MAPK14/MDM2/MSH2/NBN/PCNA/PML/PPM1D/RRM2B/SIRT1/TP53/AEN/ATRX/BANP/CASP2/CSNK2A1/DDIT4/E2F4/EP300/FOXM1/FOXO3/GML/HIPK2/HNRNPK/PAXIP1/PIDD1/SESN2/SNAI1/STK11/TNKS1BP1/TP63/TP73/TPX2/WWOX,49,
GO:0045787,GO:0045787,positive regulation of cell cycle,64/591,390/18493,1.19E-27,1.27E-25,5.28E-26,ABL1/APEX1/ATM/BAX/BRCA1/CCNA2/CCND1/CCNE1/CCNO/CDC25A/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK1/CHEK2/DAB2IP/E2F1/EGF/EREG/GADD45A/IGF1/IL1A/IL1B/MDM2/NPM1/PCNA/PML/RAD21/RAD51B/RAD51C/RB1/RHOA/SETMAR/SIRT2/SRC/TERT/TGFB1/TP53/ANXA1/ATRX/CALR/CASP2/CCNA1/CDC25B/CDC6/E2F4/EIF4EBP1/EP300/FEN1/FGFR1/GML/HSF1/HSPA2/IL10/PIDD1/PRKCA/PRKCE/RECQL4/TGFA/TNKS1BP1/TP73/XRCC3,64,
GO:0007050,GO:0007050,cell cycle arrest,51/591,241/18493,1.58E-27,1.66E-25,6.89E-26,ABL1/APC/ATM/BARD1/BAX/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK2/DAB2IP/E2F1/GADD45A/HRAS/IFNG/ILK/LAMTOR5/MCPH1/MDM2/MTOR/MYC/NBN/NOTCH2/PCNA/PML/PPP1R15A/RB1/SETMAR/TGFB1/TP53/CALR/CASP2/CDK5/CDKN2A/CXCL8/DUSP1/E2F4/EP300/FOXM1/GML/IRF1/KHDRBS1/MAP2K1/PIDD1/SOX2/STK11/TNKS1BP1/TP73,51,
GO:2000116,GO:2000116,regulation of cysteine-type endopeptidase activity,50/591,232/18493,2.14E-27,2.21E-25,9.16E-26,AKT1/BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CYCS/FAS/FASLG/GPX1/HGF/IFI16/JAK2/LAMTOR5/LCK/MDM2/MGMT/MMP9/MYC/PML/PRDX5/PTGS2/RAF1/RHOA/SIRT1/SRC/TNF/VEGFA/BIRC3/CASP8AP2/CSNK2A1/DIABLO/EIF2AK3/HSF1/HSPD1/HSPE1/MT3/NLRP3/PAK2/PIDD1/PLAUR/PPARG/RPS3/SOX2/TNFRSF10A/TP63/TRAF2/XDH/XIAP,50,
GO:0000723,GO:0000723,telomere maintenance,42/591,157/18493,3.50E-27,3.54E-25,1.47E-25,APEX1/ATM/ATR/CCNE1/CTNNB1/DCLRE1A/DCLRE1C/DNA2/ERCC1/EXO1/HIST4H4/HSP90AA1/HUS1/MRE11/MYC/NBN/PARP1/PCNA/PML/POLA1/PRKDC/RAD50/RAD51/RAD51C/RIF1/RPA1/RPA2/SRC/TERT/XRCC1/XRCC5/ATRX/DCLRE1B/FEN1/NEK2/RAD51D/RECQL4/TNKS/TNKS1BP1/WRN/XRCC3/XRCC6,42,
GO:1901987,GO:1901987,regulation of cell cycle phase transition,65/591,412/18493,4.60E-27,4.57E-25,1.89E-25,APC/APEX1/ATM/BABAM2/BAX/BCL2/BRCA1/CCND1/CDC25A/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK1/CHEK2/E2F1/ERCC2/GADD45A/HSP90AA1/HUS1/MDM2/MRE11/MSH6/NBN/NPM1/PCNA/PLK1/PML/PRKDC/PTEN/RAD17/RAD21/RAD51B/RAD51C/RB1/RPA2/SIRT2/TERT/TGFB1/TP53/ANXA1/CASP2/CDC25B/CDC6/CEP164/CETN2/CHMP4C/DUSP1/E2F4/EP300/GML/HSPA2/MEN1/NEK2/PAXIP1/PIDD1/RECQL4/TNKS1BP1/TOPBP1/TPX2/UIMC1/WEE1/XPC/XRCC3,65,
GO:0071478,GO:0071478,cellular response to radiation,45/591,186/18493,5.10E-27,4.97E-25,2.06E-25,ATM/ATR/BAK1/BAX/BCL2L1/CASP9/CDC25A/CDKN1A/CHEK1/CHEK2/EGR1/ERCC1/GADD45A/GATA3/H2AFX/HRAS/HUS1/IFI16/MAPK14/MDM2/MGMT/MYC/NPM1/PARP1/PCNA/PTGS2/RAD1/RAD51/RAD9A/RHOB/SIRT1/TGFB1/TP53/TP53BP1/XRCC5/DDB2/DNM2/EP300/HSF1/POLH/STK11/TNKS1BP1/WRN/XPC/XRCC6,45,
GO:2001020,GO:2001020,regulation of response to DNA damage stimulus,47/591,206/18493,5.77E-27,5.53E-25,2.29E-25,ABL1/ATM/ATR/BABAM2/BCL2/BCL2L1/BRCA1/CASP9/CHEK1/CHEK2/CLU/EGFR/ERCC1/H2AFX/MCL1/MDM2/MGMT/MYC/OGG1/PARP1/PCNA/PML/RAD51/RAD52/RAD9A/RIF1/RNF168/RNF8/RPA2/SETD2/SETMAR/SIRT1/TP53BP1/XRCC1/FOXM1/HNRNPK/HSF1/IER3/PAXIP1/PIAS4/POLH/POLQ/RPS3/SNAI1/TIGAR/TRIM28/UIMC1,47,
GO:0032200,GO:0032200,telomere organization,43/591,170/18493,1.02E-26,9.65E-25,4.00E-25,APEX1/ATM/ATR/CCNE1/CTNNB1/DCLRE1A/DCLRE1C/DNA2/ERCC1/EXO1/HIST1H3J/HIST4H4/HSP90AA1/HUS1/MRE11/MYC/NBN/PARP1/PCNA/PML/POLA1/PRKDC/RAD50/RAD51/RAD51C/RIF1/RPA1/RPA2/SRC/TERT/XRCC1/XRCC5/ATRX/DCLRE1B/FEN1/NEK2/RAD51D/RECQL4/TNKS/TNKS1BP1/WRN/XRCC3/XRCC6,43,
GO:0045785,GO:0045785,positive regulation of cell adhesion,63/591,397/18493,2.15E-26,1.99E-24,8.25E-25,ABL1/AKT1/ANGPT1/ATM/BRAF/CAV1/CD4/EGR3/ERBB2/FOXP3/GATA3/GSK3B/HLA-E/ICAM1/IFNG/IGF1/IL1B/IL2/IL6/ILK/JAK2/KDR/KLRK1/KLRC4-KLRK1/LCK/PTK2B/PTPRC/RAC1/RET/RHOA/SRC/TGFB1/THY1/TNF/VEGFA/ANXA1/CALR/CCR7/CD24/CD36/DNM2/FLNA/FN1/HSPD1/IL10/IL4/ITGA5/ITGA6/LEP/LGALS1/LYN/NLRP3/PAK1/PAK2/PRKCA/PRKCE/RPS3/SHH/SOCS1/SOX2/TNFSF4/TNFSF9/VCAM1,63,
GO:0002312,GO:0002312,B cell activation involved in immune response,30/591,72/18493,3.12E-26,2.84E-24,1.18E-24,ABL1/APLF/CD40/ERCC1/EXO1/FOXP3/IFNB1/IL2/LIG4/MLH1/MSH2/MSH6/NBN/NOTCH2/PTK2B/PTPRC/RIF1/RNF168/RNF8/TGFB1/TP53BP1/HSPD1/IL10/IL4/LGALS1/PAXIP1/PLCG2/TLR4/TNFSF4/UNG,30,
GO:1901652,GO:1901652,response to peptide,69/591,481/18493,3.68E-26,3.30E-24,1.37E-24,AGT/AKT1/APC/APEX1/APRT/BRAF/CAT/CAV1/CCNA2/CD40/CDK4/CREB1/EGR1/EREG/GCG/GCLC/GSK3B/ICAM1/IGF1/IGF1R/IL1B/IRS1/JAK2/MAPK14/MDM2/MTOR/NFKB1/NFKBIA/PARP1/PKM/PPARA/PRKDC/PTEN/PTGS2/PTK2/SIRT1/SP1/SRC/STAT1/STAT3/TGFB1/TIMP1/TP53/ANXA1/ANXA5/CAMK2A/CD36/CDC6/CDK5/EIF4EBP1/FOXO3/GH2/HSF1/IGFBP1/IL10/JUND/LEP/LHCGR/LYN/MEN1/PAK1/PPARG/PPAT/PXN/SESN2/SOCS1/SOCS3/TLR4/WDTC1,69,
GO:0001666,GO:0001666,response to hypoxia,56/591,314/18493,3.74E-26,3.30E-24,1.37E-24,AKT1/ATM/BCL2/CA9/CASP3/CAT/CAV1/CCNA2/CREB1/E2F1/EGR1/ERCC2/HIF1A/HMOX1/ICAM1/MDM2/MMP2/MTOR/MYC/NOS2/PKM/PLAT/PML/PPARA/PSEN2/PTEN/PTGS2/PTK2B/RAF1/RHOA/SIRT1/SIRT2/SRC/TERT/TGFB1/TP53/VEGFA/XRCC1/ACVRL1/ADAM17/BMP2/CD24/DDIT4/EP300/FOXO3/HIPK2/HSF1/HSPD1/LDHA/LEP/MT3/PAK1/PRKCE/SUV39H1/TIGAR/VCAM1,56,
GO:0044774,GO:0044774,mitotic DNA integrity checkpoint,35/591,107/18493,3.85E-26,3.34E-24,1.38E-24,ATF2/ATM/BAX/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/HUS1/MDC1/MDM2/MRE11/MSH2/MSH6/NBN/PCNA/PML/PRKDC/RAD17/RAD9A/RPA2/SETMAR/TP53/CASP2/CDC6/E2F4/EP300/GML/PIDD1/TNKS1BP1/TOPBP1/XPC,35,
GO:0097305,GO:0097305,response to alcohol,48/591,231/18493,1.37E-25,1.17E-23,4.84E-24,AKT1/BAK1/BCL2L1/BRCA1/CASP8/CAT/CCND1/CDH1/CDK1/CDK4/CDKN1A/CSF3/CTNNB1/GATA3/GLB1/ICAM1/IL2/MGMT/NQO1/OGG1/PARP1/POLB/PTCH1/PTEN/PTK2B/RAD51/RHOA/SOD1/STAT3/TGFB1/AHR/AKR1C3/CCR7/FOS/FOSB/FOXO3/G6PD/IL13/LEP/NTRK3/P2RY6/PPARG/PRKCE/SETD7/SMAD2/TNC/TNFSF4/VCAM1,48,
GO:0034614,GO:0034614,cellular response to reactive oxygen species,41/591,162/18493,1.56E-25,1.30E-23,5.38E-24,ABL1/AKT1/APEX1/CCNA2/CDK1/CDK2/DHFR/EGFR/FANCC/HGF/IL6/JUN/MAPK8/MDM2/MMP9/NQO1/PCNA/PRDX1/PRDX2/PRDX5/RHOB/SIRT1/SOD1/SOD2/SRC/TNF/AKR1C3/ANXA1/CD36/DNM2/FOS/FOXO3/HSF1/IL10/MT3/NOS3/PXN/RGN/RPS3/TRAF2/TXN,41,
GO:0071479,GO:0071479,cellular response to ionizing radiation,29/591,69/18493,1.57E-25,1.30E-23,5.38E-24,ATM/ATR/BCL2L1/CDKN1A/CHEK2/EGR1/GADD45A/GATA3/H2AFX/HRAS/HUS1/IFI16/MAPK14/MDM2/MGMT/RAD1/RAD51/RAD9A/RHOB/SIRT1/TGFB1/TP53/TP53BP1/XRCC5/DNM2/HSF1/TNKS1BP1/WRN/XRCC6,29,
GO:0071902,GO:0071902,positive regulation of protein serine/threonine kinase activity,56/591,323/18493,1.63E-25,1.33E-23,5.52E-24,BRAF/CCND1/CD40/CDK1/DAB2IP/EGF/EGFR/ERBB2/ERCC6/ERP29/GADD45A/HGF/HRAS/IFNG/IGF1/IL1B/ILK/JAK2/KIT/KRAS/MAP3K21/MAPK14/PTK2B/PTPRC/RAF1/RET/RHOA/SIRT1/SOD1/SRC/TGFB1/TNF/VEGFA/BMP2/CD24/CDC6/DAXX/DBF4/FGF2/FGFR1/FLT3/GADD45B/GRM1/MAP2K1/MAP2K2/NTRK3/P2RX7/PAK1/PDGFA/PIK3CB/RPS3/TGFA/TLR4/TNFRSF11A/TP73/TRAF2,56,
GO:0036293,GO:0036293,response to decreased oxygen levels,56/591,325/18493,2.25E-25,1.81E-23,7.49E-24,AKT1/ATM/BCL2/CA9/CASP3/CAT/CAV1/CCNA2/CREB1/E2F1/EGR1/ERCC2/HIF1A/HMOX1/ICAM1/MDM2/MMP2/MTOR/MYC/NOS2/PKM/PLAT/PML/PPARA/PSEN2/PTEN/PTGS2/PTK2B/RAF1/RHOA/SIRT1/SIRT2/SRC/TERT/TGFB1/TP53/VEGFA/XRCC1/ACVRL1/ADAM17/BMP2/CD24/DDIT4/EP300/FOXO3/HIPK2/HSF1/HSPD1/LDHA/LEP/MT3/PAK1/PRKCE/SUV39H1/TIGAR/VCAM1,56,
GO:0052547,GO:0052547,regulation of peptidase activity,65/591,442/18493,2.72E-25,2.15E-23,8.92E-24,AGT/AKT1/BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CAV1/CYCS/FAS/FASLG/GPX1/HGF/IFI16/JAK2/LAMTOR5/LCK/MAPK14/MDM2/MGMT/MMP9/MYC/PI3/PML/PRDX5/PSME4/PTGS2/RAF1/RHOA/SIRT1/SRC/STAT3/TIMP1/TNF/VEGFA/BIRC3/BIRC5/CASP8AP2/CRB2/CSNK2A1/DIABLO/EIF2AK3/FN1/HSF1/HSPD1/HSPE1/LYN/MT3/NLRP3/PAK2/PIDD1/PLAUR/PPARG/PTTG1/RPS3/SERPINA3/SERPINE1/SERPINH1/SOX2/TNFRSF10A/TP63/TRAF2/XDH/XIAP,65,
GO:0042113,GO:0042113,B cell activation,54/591,303/18493,3.11E-25,2.43E-23,1.01E-23,ABL1/APLF/ATM/BAK1/BAX/BCL2/CASP3/CASP8/CD40/DCLRE1C/ERCC1/EXO1/FOXP3/IFNA13/IFNB1/IL2/IL6/ITGB1/KIT/LIG4/MLH1/MSH2/MSH6/NBN/NHEJ1/NOTCH2/PRKDC/PTK2B/PTPRC/RIF1/RNF168/RNF8/TGFB1/TP53BP1/ADAM17/AHR/EP300/FLT3/HSPD1/IL10/IL11/IL13/IL4/IL5/LGALS1/LYN/MS4A1/NFATC2/PAXIP1/PLCG2/TLR4/TNFSF4/UNG/VCAM1,54,
GO:0009612,GO:0009612,response to mechanical stimulus,45/591,204/18493,3.34E-25,2.57E-23,1.06E-23,AGT/AKT1/ATP8A2/BAK1/CASP1/CASP8/CD40/CHEK1/EGFR/FAS/GADD45A/GCLC/IL1B/JUN/JUNB/KIT/MAPK14/MAPK8/NFKB1/NFKBIA/PTCH1/PTGS2/PTK2B/RAC1/RAF1/RHOA/SRC/STAT1/TGFB1/CASP2/CASP8AP2/FOS/FOSB/IL13/IRF1/JUND/P2RX7/PPARG/TLR4/TLR5/TNC/TNFRSF10A/TNFRSF1A/UCN/XPC,45,
GO:0071496,GO:0071496,cellular response to external stimulus,56/591,328/18493,3.62E-25,2.75E-23,1.14E-23,AGT/AKT1/ALB/ATF3/BAK1/BCL2/CASP1/CASP8/CD40/CDKN1A/CHEK1/EGFR/FAS/GADD45A/GCLC/HMOX1/ICAM1/IFI16/IL1B/JUN/MAPK8/MDM2/MTOR/NFKB1/PIK3C3/PPM1D/PTGS2/PTPRC/RAC1/SIRT1/SOD1/TGFB1/TP53/AKR1C3/ATG5/CASP2/CASP8AP2/EIF2AK3/FOS/HSF1/IL13/IRF1/ITGA6/LEP/LYN/NUDT1/P2RX7/PPARG/SESN2/TLR4/TLR5/TNC/TNFRSF10A/TNFRSF1A/TNKS/WRN,56,
GO:0043406,GO:0043406,positive regulation of MAP kinase activity,50/591,258/18493,3.75E-25,2.79E-23,1.16E-23,BRAF/CD40/CDK1/DAB2IP/EGF/EGFR/ERBB2/ERCC6/ERP29/GADD45A/HGF/HRAS/IGF1/IL1B/ILK/JAK2/KIT/KRAS/MAP3K21/MAPK14/PTK2B/PTPRC/RAF1/RET/SOD1/SRC/TGFB1/TNF/VEGFA/BMP2/CD24/DAXX/FGF2/FGFR1/FLT3/GADD45B/GRM1/MAP2K1/MAP2K2/NTRK3/P2RX7/PAK1/PDGFA/PIK3CB/RPS3/TGFA/TLR4/TNFRSF11A/TP73/TRAF2,50,
GO:0051249,GO:0051249,regulation of lymphocyte activation,67/591,472/18493,3.78E-25,2.79E-23,1.16E-23,ABL1/AKT1/APLF/ATM/BCL2/BRAF/CASP3/CAV1/CD2/CD4/CD40/CTNNB1/EGR3/ERBB2/FANCD2/FOXP3/GATA3/HLA-E/IFNB1/IFNG/IGF1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/LCK/MLH1/MSH2/MSH6/PTPRC/RAC1/RHOA/RIF1/SOD1/SRC/TGFB1/THY1/TP53BP1/AHR/ANXA1/CCR7/CD24/HSPD1/IL10/IL13/IL4/IL5/IRF1/LEP/LGALS1/LYN/NFATC2/NLRP3/PAK1/PAK2/PAXIP1/PLA2G2D/RPS3/SHH/SOCS1/TLR4/TNFSF4/TNFSF9/TWSG1/UNG/VCAM1,67,
GO:0002562,GO:0002562,somatic diversification of immune receptors via germline recombination within a single locus,27/591,59/18493,4.36E-25,3.13E-23,1.30E-23,APLF/BCL11B/CD40/DCLRE1C/ERCC1/EXO1/FOXP3/IL2/LIG4/MLH1/MSH2/MSH6/NBN/POLB/PRKDC/PTPRC/RIF1/RNF168/RNF8/TGFB1/TP53BP1/HSPD1/IL10/IL4/PAXIP1/TNFSF4/UNG,27,
GO:0016444,GO:0016444,somatic cell DNA recombination,27/591,59/18493,4.36E-25,3.13E-23,1.30E-23,APLF/BCL11B/CD40/DCLRE1C/ERCC1/EXO1/FOXP3/IL2/LIG4/MLH1/MSH2/MSH6/NBN/POLB/PRKDC/PTPRC/RIF1/RNF168/RNF8/TGFB1/TP53BP1/HSPD1/IL10/IL4/PAXIP1/TNFSF4/UNG,27,
